State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Urban_Households,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Households_with_Bicycle,Households_with_Car_Jeep_Van,Households_with_Scooter_Motorcycle_Moped,Households_with_TV_Computer_Laptop_Telephone_mobile_phone_and_Scooter_Car,Having_latrine_facility_within_the_premises_Total_Households,sex_ration,Literacy_rate
Rajasthan,Jalor,25.07578094,72.18647262,116,1828730,936634,892096,829582,543923,39745,161845,1585,12794,48202,870570,1033534,1904104,1176496,390598,37596,12367,34799,2410,51153,952.0,45.36
Rajasthan,Jhalawar,24.24725541,76.11242892,129,1411129,725143,685986,739792,466815,38909,220428,1750,9403,63763,747822,696680,1444502,850546,346110,81160,5385,56052,3516,46984,946.0,52.43
Rajasthan,Jhunjhunun,28.13517401,75.52840894,103,2137045,1095896,1041149,1370360,815834,131987,297559,4828,24178,150357,1536668,712584,2249252,1298780,494124,74695,15861,59920,9276,205571,950.0,64.12
Rajasthan,Jodhpur,26.67846084,73.00450847,113,3687165,1923928,1763237,2031532,1265753,197135,408808,19335,54808,307442,2036941,1591957,3628898,2359786,836322,193641,40768,197296,35071,248676,916.0,55.1
Rajasthan,Karauli,26.51901556,76.96081818,107,1458248,783639,674609,805849,531904,28296,132079,1059,13045,59308,840673,668926,1509599,947173,310688,52008,3820,35486,2021,41754,861.0,55.26
Rajasthan,Kota,25.17571808,76.18618928,127,1951014,1021161,929853,1298345,765396,165563,339899,12843,36297,311735,1317870,588142,1906012,1177474,495896,150716,24848,147206,25780,195286,911.0,66.55
Rajasthan,Nagaur,27.07862016,74.14215667,112,3307743,1696325,1611418,1758624,1102750,97267,347344,4449,35328,166489,1910801,1533137,3443938,2088323,754143,90046,26150,94315,9194,209311,950.0,53.17
Rajasthan,Pali,25.80490394,73.55285641,118,2037573,1025422,1012151,1085693,667381,94821,326793,4043,19270,139808,1216936,983050,2199986,1207983,467436,175945,14175,109098,8336,124303,987.0,53.28
Rajasthan,Rajsamand,25.24894767,73.96570216,123,1156597,581339,575258,619139,383334,36073,193276,1989,9222,61054,674367,544517,1218884,687165,275099,65503,7060,62714,4460,49135,990.0,53.53
Rajasthan,Sawai Madhopur,26.25108118,76.42192839,108,1335551,704031,631520,741748,486184,40116,140947,1887,14310,71264,759711,586492,1346203,841697,309237,66594,4398,41953,3526,52475,897.0,55.54
